artist_name,track_name,album_name,release_date,release_year,is_album_track,explicit,is_feature,popularity,track_id,duration_ms,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,duration_min
Rapper Big Pooh,"Nothing Less (feat. Ab Soul, Jay Rock & Kendrick Lamar)",Delightful Bars: Apple Turnover Version,2009-03-24,2009,FALSE,TRUE,TRUE,0,56emeztyiUrCqYmTV1u6KC,285413,645,803,436,88.625,-6.058,466,579,0.0,199,4.756.883.333.333.330
Tae Beast,El Campo Freestyle (feat. Kendrick Lamar),Tae Beast Tape 1,2010-07-01,2010,FALSE,TRUE,TRUE,1,1FnWyVYWz8K7zuLvmpUET6,157962,604,947,884,80.342,-3.269,0.3,427,0.0,195,2.6327
Jay Rock,Jay Rock feat. Kendrick Lamar & Major James,From Hood Tales to the Cover of XXL,2010-07-20,2010,FALSE,TRUE,TRUE,0,26eqFi54f9O7LJytvbRkje,191893,627,647,674,88.028,-10.611,253,513,0.0,0.18,31.982.166.666.666.600
Kendrick Lamar,Growing Apart (To Get Closer),Overly Dedicated,2010-09-14,2010,TRUE,TRUE,FALSE,48,2AyFYSaJjz9XMc0kMr1R3a,220995,586,533,0.59,106.835,-9.943,366,368,0.0,175,368.325
Kendrick Lamar,Ignorance Is Bliss,Overly Dedicated,2010-09-14,2010,TRUE,TRUE,FALSE,51,53mCo1wDJ12iZNq9LgIeg2,210494,644,801,764,82.156,-4.55,387,511,8.59e-06,614,35.082.333.333.333.300
Kendrick Lamar,P&P 1.5,Overly Dedicated,2010-09-14,2010,TRUE,TRUE,FALSE,51,6TRVvpoVFwyYyIGTFh0Y7P,361942,0.55,692,593,146.453,-7.438,369,299,6.57e-06,198,6.032.366.666.666.660
Kendrick Lamar,Alien Girl (Today W/ Her),Overly Dedicated,2010-09-14,2010,TRUE,TRUE,FALSE,49,6ff9CLXYk39PKFYoYCYeog,239973,626,537,259,95.948,-7.344,367,502,835,111,399.955
Kendrick Lamar,Opposites Attract (Tomorrow W/O Her),Overly Dedicated,2010-09-14,2010,TRUE,TRUE,FALSE,50,1S6NpdvFXqHZfPUUEOIjtG,271909,608,814,587,192.157,-5.908,435,657,5.86e-06,256,4.531.816.666.666.660
Kendrick Lamar,Michael Jordan,Overly Dedicated,2010-09-14,2010,TRUE,TRUE,FALSE,44,1oH44ACGSLbJGcbw2JLQOt,350698,713,803,522,153.987,-5.311,287,759,0.0,129,5.844.966.666.666.660
Kendrick Lamar,R.O.T.C (Interlude),Overly Dedicated,2010-09-14,2010,TRUE,TRUE,FALSE,43,1DCLOAT1E5NDZDupAE95ka,163105,645,779,368,98.405,-7.265,316,324,0.0,0.65,27.184.166.666.666.600
